product_id,product_name,category,brand,cost_price,selling_price,stock_quantity,launch_date
1,Kurti - Tempore,Clothing,Anokhi Threads,1369.17,2489.4,145,2023-01-26
2,Saree - Culpa,Clothing,Veloura Basics,1518.62,2761.13,322,2024-11-23
3,T-Shirt - Alias,Clothing,Zorra,430.34,782.44,278,2023-08-12
4,Jeans - Harum,Clothing,Urban Weft,1248.77,2270.49,132,2025-01-03
5,Ethnic Gown - Exercitationem,Clothing,Zorra,812.86,1477.93,377,01/07/2023
6,Palazzo Set - Et,Clothing,Anokhi Threads,812.37,1477.04,72,2023-08-09
7,Blazer - Deserunt,Clothing,Anokhi Threads,533.39,969.8,433,2023-12-19
8,Co-ord Set - Corporis,Clothing,Urban Weft,1091.96,1985.38,60,2023-05-08
9,Dress - Veritatis,Clothing,Anokhi Threads,1661.73,3021.33,315,2024-09-25
10,Jacket - Quisquam,Clothing,Zorra,491.56,893.75,415,2024-11-08
11,Trousers - Commodi,Clothing,Veloura Basics,507.33,922.42,214,2023-08-27
12,Sneakers - Rerum,Footwear,Veloura Walk,1148.52,2088.22,209,2024-01-09
13,Sandals - Nisi,Footwear,StepStyle,1195.94,2174.44,331,2024/12/19
14,Heels - Aliquid,Footwear,Veloura Walk,1008.89,1834.35,256,2023-09-08
15,Flats - Aliquam,Footwear,Veloura Walk,1635.04,2972.8,370,2024-10-17
16,Loafers - Consectetur,Footwear,Veloura Walk,1330.88,2419.78,440,2023-02-27
17,Flip Flops - Esse,Footwear,StepStyle,708.2,1287.64,128,2023-10-02
18,Boots - Eveniet,Footwear,TrendSole,1054.32,1916.95,128,2025-01-05
19,Wedges - Quae,Footwear,ComfortLine,818.44,1488.07,93,2024-10-20
20,Sports Shoes - Sed,Footwear,TrendSole,613.56,1115.56,402,2024-07-28
21,Juttis - Alias,Footwear,TrendSole,1508.96,2743.56,132,2024-02-13
22,Slippers - Ratione,Footwear,StepStyle,464.66,844.84,406,2024-05-20
23,Sun Hat - Eius,Hats,Veloura Accessories,206.66,375.75,425,2024-10-04
24,Cap - Totam,Hats,CapCraft,394.07,716.49,325,2024-01-30
25,Beanie - Voluptates,Hats,Veloura Accessories,368.16,669.38,368,2024-07-20
26,Fedora - Quisquam,Hats,CapCraft,426.91,776.2,413,2024-07-03
27,Bucket Hat - Nihil,hats,Veloura Accessories,207.4,377.09,252,2024-03-21
28,Beret - Est,Hats,CapCraft,442.46,804.47,276,2025-01-06
29,Visor - Occaecati,Hats,HeadTurn,359.91,654.38,172,2023-04-19
30,Straw Hat - Repudiandae,Hats,Veloura Accessories,359.9,654.36,211,2023-07-23
31,Winter Hat - Hic,Hats,HeadTurn,372.11,676.56,490,2025-03-08
32,Snapback - Ab,Hats,Veloura Accessories,289.25,525.91,495,2023-01-20
33,Panama Hat - Dolore,Hats,Veloura Accessories,543.8,988.73,49,2023-11-11
34,Lipstick - Voluptatem,Makeup,GlowUp,452.7,823.09,394,2023-03-22
35,Foundation - Nisi,Makeup,Veloura Beauty,151.32,275.13,85,2025-02-17
36,Kajal - Laboriosam,Makeup,PureTone,682.29,1240.53,290,2023-06-19
37,Compact Powder - Hic,Makeup,Veloura Beauty,365.45,664.45,385,2023-08-05
38,Blush - Dolor,Makeup,PureTone,711.52,1293.67,244,2024-10-27
39,Eyeliner - Esse,Makeup,Veloura Beauty,382.6,695.64,52,2023-09-11
40,Mascara - Labore,Makeup,Veloura Beauty,465.38,846.15,23,2023-08-24
41,Highlighter - Corporis,Makeup,GlowUp,491.27,893.22,483,2023-08-23
42,Lip Gloss - Consectetur,Makeup,Veloura Beauty,309.36,562.47,162,2024-06-10
43,Concealer - Modi,Makeup,ColorPop India,239.06,434.65,144,2023-05-16
44,Primer - Consequatur,Makeup,GlowUp,597.99,1087.25,69,2023-07-14
45,Herbal Soap - Magnam,Soap,Veloura Essentials,112.91,205.29,462,2024-02-25
46,Charcoal Soap - Laborum,Soap,NatureCare,165.56,301.02,51,2024-10-23
47,Sandalwood Soap - Sed,Soap,NatureCare,110.43,200.78,118,2023-04-22
48,Rose Soap - Fuga,Soap,NatureCare,128.47,233.58,162,2024-03-08
49,Neem Soap - Aperiam,Soap,Veloura Essentials,198.74,361.35,433,2023-03-19
50,Aloe Vera Soap - Officia,Soap,HerbNest,145.25,264.09,296,2023-02-21
51,Goat Milk Soap - Quidem,soap,NatureCare,214.33,389.69,105,2025-02-10
52,Turmeric Soap - Cupiditate,Soap,NatureCare,133.87,243.4,104,2024-02-15
53,Coffee Soap - Minus,Soap,Veloura Essentials,217.03,394.6,166,2023-09-29
54,Lavender Soap - Beatae,Soap,HerbNest,212.41,386.2,358,2025-03-13
55,Oatmeal Soap - Quod,Soap,NatureCare,79.99,145.44,49,2023-10-31
